OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_poverty
1,15000US230039503003,804,84,287,55.5,19900.0,0.85,0.2819672126525128,0.05901639334587477,19900.0,0.559360729316528,0.14800995006466425
2,15000US230039503002,586,102,86,48.8,31875.0,0.8404255319148937,0.1930835729305949,0.0,31875.0,0.27499999901785716,0.20989761056331466
3,15000US230039503001,1092,268,198,43.8,39355.0,0.5215189873417722,0.14018691562581884,0.0411214952502402,39355.0,0.3913043469754253,0.07541899434318529
4,15000US230039503004,1023,249,275,48.9,38125.0,0.8746268656716418,0.09276437830655959,0.06122448968232933,38125.0,0.419222903028174,0.12023460398804046
5,15000US230039511001,887,211,120,44.4,59464.0,0.3885542168674699,0.023121387216412177,0.0,59464.0,0.27810650805293935,0.07102593002139128
6,15000US230039521001,689,190,70,31.7,32250.0,0.6277372262773723,0.18857142803265306,0.011428571395918368,32250.0,0.27464788635687365,0.2772133522827092
7,15000US230039523002,678,144,124,46.3,38125.0,0.562753036437247,0.22222222166105499,0.11868686838715438,38125.0,0.42532467394375106,0.08982035914697552
8,15000US230039507001,966,225,125,42.0,43250.0,0.5439093484419264,0.19327731051832497,0.14705882322046465,43250.0,0.3333333324652778,0.1469979294544535
9,15000US230039501003,603,86,136,51.6,48942.0,0.4577777777777778,0.40816326438058215,0.251700679701359,48942.0,0.5057471244990531,0.04809286890863537
10,15000US230039507002,739,100,194,52.7,32596.0,0.6025641025641025,0.3111111104826038,0.23030302983777165,32596.0,0.4721407610787661,0.10013531786179253
11,15000US230039523004,168,9,49,59.6,50000.0,0.14285714285714285,0.7696078412509612,0.7009803904387736,50000.0,0.43617020812584884,0.03571428550170068
12,15000US230039526002,703,128,149,49.3,27000.0,0.663594470046083,0.36116910154244447,0.275574112159553,27000.0,0.5261437891302491,0.1721194876641259
13,15000US230039510001,700,166,127,41.8,40000.0,0.6517857142857143,0.21808510580296514,0.05053191475922363,40000.0,0.3979591823198667,0.2442857139367347
14,15000US230039509001,1139,261,251,44.4,29688.0,0.5762273901808785,0.447872339949072,0.3734042549219104,29688.0,0.4431599220748364,0.13918439703973012
15,15000US230039518003,655,133,123,45.9,39583.0,0.6076923076923076,0.11263736232791934,0.0824175821911605,39583.0,0.2941176461482426,0.035114503763183966
16,15000US230039518004,718,97,125,48.7,44113.0,0.3931297709923664,0.09356725118839986,0.0,44113.0,0.32580645056191465,0.07938718651895935
17,15000US230039523003,1222,348,197,37.6,33594.0,0.5718157181571816,0.04722792598105149,0.01848049277519406,33594.0,0.36206896473692035,0.18570254709473905
18,15000US230039526003,1403,251,238,47.6,39591.0,0.46296296296296297,0.3401442303604036,0.28725961503935143,39591.0,0.37340619239816725,0.17391304335430288
19,15000US230039521003,1385,277,372,46.0,33804.0,0.5217391304347826,0.06951871645362083,0.016042780720066343,33804.0,0.3927203057610722,0.12312549319406037
