OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
1,15000US230139705003,1017,211,152,,59236.0,0.057441253263707574,0.19502868031543275,0.16061185437741518,59236.0,0.30878859784135726,0.024137930992865635,0.7064555411614427,0.02120141339010351,0.09893992915381639,0.04946996457690819,0.027531956708424822,0.06413301647474343
2,15000US230139704005,1577,502,144,,43750.0,0.09624413145539906,0.08163265294222645,0.018950437290159713,43750.0,0.20158730126732174,0.10022779031864716,0.8099630988837978,0.07341772142605352,0.0987341770902099,0.1177215188383272,0.07142857138301749,0.16349206323255228
3,15000US230139708003,919,151,163,,51944.0,0.12380952380952381,0.11163895460418301,0.08788598553946322,51944.0,0.37165775301695786,0.029069767385523707,0.6683937815176246,0.0838323351620113,0.05988023940143665,0.11776447082282542,0.05440696403220135,0.12566844886184908
4,15000US230139703005,647,114,114,,43750.0,0.15648854961832062,0.35581395266089777,0.2860465109626825,43750.0,0.3249097461194594,0.05399061020189998,0.7282051269603331,0.02977667486407773,0.1215880890283174,0.08684863502022672,0.05255023175803673,0.08303249067497295
5,15000US230139704002,2388,460,142,,58421.0,0.13067400275103164,0.23364485957046224,0.0695742470720932,58421.0,0.27371273675648683,0.010572687215354459,0.5838477363251812,0.014247551189450086,0.03294746212560332,0.15138023138790718,0.06577480486857591,0.06368563677007366
6,15000US230139703003,1482,280,302,,45234.0,0.14853556485355648,0.28132678098117103,0.20024569999969816,45234.0,0.40170940102271896,0.05751633979409629,0.624999999489379,0.02773925100174861,0.01664355060104917,0.20110956976267744,0.16963064283882992,0.18803418771276206
7,15000US230139704001,2330,387,304,,44961.0,0.2063854047890536,0.17779632706360907,0.03171953252778002,44961.0,0.3126903550124971,0.08434596134071053,0.701604814091472,0.0,0.12021857914112521,0.10694769702814387,0.12543103442869352,0.17258883231209254
8,15000US230139704003,318,43,106,,63945.0,0.19852941176470587,0.17877094872195,0.0,63945.0,0.6734693831736777,0.03888888867283951,0.599999998,0.0,0.15606936325971466,0.15606936325971466,0.0,0.0
9,15000US230139704004,925,206,185,,35000.0,0.039568345323741004,0.09939148052861768,0.026369168303510816,35000.0,0.5112612601097719,0.059071729833182006,0.6253298144784567,0.0,0.024663677074745118,0.08744394599227814,0.1978378376239591,0.21621621572924277
10,15000US230139711001,486,98,94,,38250.0,0.0797872340425532,0.6877470346669999,0.6640316196784827,38250.0,0.29957805780768754,0.040160642408993405,0.6417525756655862,0.37238493568039777,0.06276150601355018,0.07949790761716356,0.27366255087723756,0.18565400765546833
