OBJECTID,GID,pop,pop_under18,pop_over65,median_age,med_home_value,pct_home_less100grants,home_vacant,home_seasonal,pct_house_lack_plumb,med_income,pct_w_ss_income,pct_unemploy,pct_pop_labor,pct_employ_agr_for_fis,pct_employ_arts,pct_employ_retail,pct_poverty,pct_house_snap
1,15000US230259662001,1037,206,183,47.4,40699.0,0.4375,0.23985890610254162,0.16049382687743594,0.010582010563347424,40699.0,0.3735498831240142,0.1349557519138147,0.5330188672959684,0.07672634251476639,0.043478260758367616,0.13810741652657949,0.16104146561133897,0.17633410631941043
2,15000US230190100002,2315,562,274,40.6,75333.0,0.053445850914205346,0.0,0.0,0.026620370339559756,75333.0,0.21759259234074932,0.1068866570251889,0.7482555014770501,0.017670682716730373,0.07228915656844244,0.1132530119572265,0.046093064071074163,0.10995370357644248
3,15000US230190130003,780,98,170,51.6,54688.0,0.3961661341853035,0.30453563649128373,0.1814254855692754,0.019438444882422367,54688.0,0.444099377502797,0.050397877850403505,0.5522174527149964,0.03072625689741269,0.06703910595799133,0.1284916197528167,0.09358974346975674,0.13664596230855292
4,15000US230050023001,1009,171,164,38.1,60500.0,0.014150943396226415,0.07075471681425774,0.0,0.0,60500.0,0.1878172584065552,0.09782608677930056,0.6352128876464754,0.0,0.10642570259753875,0.1365461844647667,0.2502720345481262,0.19796954264474736
5,15000US230050023002,2656,580,343,36.8,48304.0,0.03314917127071823,0.016393442608806347,0.0,0.0,48304.0,0.25964912257925515,0.029689608616943582,0.7037037033695615,0.005563282332709817,0.03129346312149272,0.21001390805979558,0.19325502076799736,0.22631578927516158
6,15000US230259662002,1015,215,188,49.2,32219.0,0.4969512195121951,0.3415340081888075,0.17800289409840392,0.00723589000400016,32219.0,0.3802197793841324,0.06266318521497863,0.46936274452283977,0.16991643406708515,0.11142061250300665,0.15320334219163415,0.21153846132435378,0.29010988947228594
7,15000US230110108021,586,153,107,47.1,46696.0,0.3027027027027027,0.21937321874822446,0.056980056817720635,0.0,46696.0,0.3138686119931802,0.06501547967487467,0.6843220324484702,0.0,0.03973509920617517,0.08940397321389412,0.03242320813579657,0.2810218967845916
8,15000US230110108022,1395,367,417,38.6,37292.0,0.1769041769041769,0.07373868037032512,0.023285899064313196,0.0,37292.0,0.37569832349762805,0.22807017503847338,0.5544747076318339,0.0,0.022727272675619834,0.08409090889979338,0.28530465929368837,0.2611731839927749
9,15000US230110120001,1336,248,204,41.2,49323.0,0.11455847255369929,0.3407310700512649,0.3015665792407747,0.01827676237822877,49323.0,0.3386138607156161,0.02484472045831565,0.5892040250784958,0.0,0.02547770696579983,0.1353503182558116,0.07185628737136505,0.17227722738162926
10,15000US230110106003,744,183,176,48.1,49375.0,0.3852813852813853,0.16666666622574955,0.0,0.0,49375.0,0.38095237974300833,0.0649038459978273,0.6887417207140037,0.0,0.07969151650464906,0.19537275014042996,0.034946236512169035,0.14920634873267827
